miRNA-corp.d0.s0	Identification of blood microRNAs associated to Parkinsońs disease.   	miRNA-corp.d0.s0.e0	Non-Specific_miRNAs	microRNAs 	1
miRNA-corp.d0.s0	Identification of blood microRNAs associated to Parkinsońs disease.   	miRNA-corp.d0.s0.e1	Diseases	Parkinsońs disease 	2
miRNA-corp.d0.s0	Identification of blood microRNAs associated to Parkinsońs disease.   	miRNA-corp.d0.s0.e2	Relation_Trigger	associated 	3
miRNA-corp.d0.s1	While miR-1, miR-22* and miR-29 expression levels allowed to distinguish non-treated PD from healthy subjects, miR-16-2*, miR-26a2* and miR30a differentiated treated from untreated patients.  	miRNA-corp.d0.s1.e0	Diseases	PD 	1
miRNA-corp.d0.s1	While miR-1, miR-22* and miR-29 expression levels allowed to distinguish non-treated PD from healthy subjects, miR-16-2*, miR-26a2* and miR30a differentiated treated from untreated patients.  	miRNA-corp.d0.s1.e1	Specific_miRNAs	miR-1 	2
miRNA-corp.d0.s1	While miR-1, miR-22* and miR-29 expression levels allowed to distinguish non-treated PD from healthy subjects, miR-16-2*, miR-26a2* and miR30a differentiated treated from untreated patients.  	miRNA-corp.d0.s1.e2	Specific_miRNAs	miR-22 	3
miRNA-corp.d0.s1	While miR-1, miR-22* and miR-29 expression levels allowed to distinguish non-treated PD from healthy subjects, miR-16-2*, miR-26a2* and miR30a differentiated treated from untreated patients.  	miRNA-corp.d0.s1.e3	Specific_miRNAs	miR-29 	4
miRNA-corp.d0.s1	While miR-1, miR-22* and miR-29 expression levels allowed to distinguish non-treated PD from healthy subjects, miR-16-2*, miR-26a2* and miR30a differentiated treated from untreated patients.  	miRNA-corp.d0.s1.e4	Specific_miRNAs	miR-16-2 	5
miRNA-corp.d0.s1	While miR-1, miR-22* and miR-29 expression levels allowed to distinguish non-treated PD from healthy subjects, miR-16-2*, miR-26a2* and miR30a differentiated treated from untreated patients.  	miRNA-corp.d0.s1.e5	Specific_miRNAs	miR-26a2 	6
miRNA-corp.d0.s1	While miR-1, miR-22* and miR-29 expression levels allowed to distinguish non-treated PD from healthy subjects, miR-16-2*, miR-26a2* and miR30a differentiated treated from untreated patients.  	miRNA-corp.d0.s1.e6	Specific_miRNAs	miR30a 	7
miRNA-corp.d0.s1	While miR-1, miR-22* and miR-29 expression levels allowed to distinguish non-treated PD from healthy subjects, miR-16-2*, miR-26a2* and miR30a differentiated treated from untreated patients.  	miRNA-corp.d0.s1.e7	Relation_Trigger	expression levels allowed to distinguish 	8
miRNA-corp.d0.s1	While miR-1, miR-22* and miR-29 expression levels allowed to distinguish non-treated PD from healthy subjects, miR-16-2*, miR-26a2* and miR30a differentiated treated from untreated patients.  	miRNA-corp.d0.s1.e8	Species	patients 	9
miRNA-corp.d0.s2	They form two groups according to their expression profile in control, non-treated, early-onset and treated Parkinson's disease subjects.  	miRNA-corp.d0.s2.e0	Diseases	Parkinson's disease 	1
miRNA-corp.d0.s3	A set of six differentially expressed microRNAs were identified.  	miRNA-corp.d0.s3.e0	Non-Specific_miRNAs	microRNAs 	1
miRNA-corp.d0.s3	A set of six differentially expressed microRNAs were identified.  	miRNA-corp.d0.s3.e1	Relation_Trigger	differentially expressed 	2
miRNA-corp.d0.s4	The present study demonstrates that blood samples can be used as a source of miRNA identification associated to Parkinson's disease (PD).  	miRNA-corp.d0.s4.e0	Non-Specific_miRNAs	miRNA 	1
miRNA-corp.d0.s4	The present study demonstrates that blood samples can be used as a source of miRNA identification associated to Parkinson's disease (PD).  	miRNA-corp.d0.s4.e1	Diseases	Parkinson's disease 	2
miRNA-corp.d0.s4	The present study demonstrates that blood samples can be used as a source of miRNA identification associated to Parkinson's disease (PD).  	miRNA-corp.d0.s4.e2	Diseases	PD 	3
miRNA-corp.d0.s4	The present study demonstrates that blood samples can be used as a source of miRNA identification associated to Parkinson's disease (PD).  	miRNA-corp.d0.s4.e3	Relation_Trigger	associated 	4
miRNA-corp.d0.s5	This study is innovative in contributing to the development of effective PD biomarkers.    	miRNA-corp.d0.s5.e0	Diseases	PD 	1
miRNA-corp.d1.s0	This reveals a previously unrecognized signaling cascade involved in meningioma tumor development and highlights a novel molecular interaction between miR-200a and Wnt signaling, thereby providing insights into novel therapies for meningiomas.    	miRNA-corp.d1.s0.e0	Specific_miRNAs	miR-200a 	1
miRNA-corp.d1.s0	This reveals a previously unrecognized signaling cascade involved in meningioma tumor development and highlights a novel molecular interaction between miR-200a and Wnt signaling, thereby providing insights into novel therapies for meningiomas.    	miRNA-corp.d1.s0.e1	Diseases	meningioma tumor 	2
miRNA-corp.d1.s0	This reveals a previously unrecognized signaling cascade involved in meningioma tumor development and highlights a novel molecular interaction between miR-200a and Wnt signaling, thereby providing insights into novel therapies for meningiomas.    	miRNA-corp.d1.s0.e2	Diseases	meningiomas 	3
miRNA-corp.d1.s1	A direct correlation was found between the downregulation of miR-200a and the upregulation of beta-catenin in human meningioma samples.  	miRNA-corp.d1.s1.e0	Specific_miRNAs	miR-200a 	1
miRNA-corp.d1.s1	A direct correlation was found between the downregulation of miR-200a and the upregulation of beta-catenin in human meningioma samples.  	miRNA-corp.d1.s1.e1	Diseases	meningioma 	2
miRNA-corp.d1.s1	A direct correlation was found between the downregulation of miR-200a and the upregulation of beta-catenin in human meningioma samples.  	miRNA-corp.d1.s1.e2	Genes/Proteins	beta-catenin 	3
miRNA-corp.d1.s1	A direct correlation was found between the downregulation of miR-200a and the upregulation of beta-catenin in human meningioma samples.  	miRNA-corp.d1.s1.e3	Relation_Trigger	downregulation 	4
miRNA-corp.d1.s1	A direct correlation was found between the downregulation of miR-200a and the upregulation of beta-catenin in human meningioma samples.  	miRNA-corp.d1.s1.e4	Relation_Trigger	upregulation 	5
miRNA-corp.d1.s1	A direct correlation was found between the downregulation of miR-200a and the upregulation of beta-catenin in human meningioma samples.  	miRNA-corp.d1.s1.e5	Relation_Trigger	correlation 	6
miRNA-corp.d1.s1	A direct correlation was found between the downregulation of miR-200a and the upregulation of beta-catenin in human meningioma samples.  	miRNA-corp.d1.s1.e6	Species	human 	7
miRNA-corp.d1.s2	Thus, miR-200a appears to act as a multifunctional tumor suppressor miRNA in meningiomas through effects on the E-cadherin and Wnt/beta-catenin signaling pathways.  	miRNA-corp.d1.s2.e0	Specific_miRNAs	miR-200a 	1
miRNA-corp.d1.s2	Thus, miR-200a appears to act as a multifunctional tumor suppressor miRNA in meningiomas through effects on the E-cadherin and Wnt/beta-catenin signaling pathways.  	miRNA-corp.d1.s2.e1	Genes/Proteins	E-cadherin 	2
miRNA-corp.d1.s2	Thus, miR-200a appears to act as a multifunctional tumor suppressor miRNA in meningiomas through effects on the E-cadherin and Wnt/beta-catenin signaling pathways.  	miRNA-corp.d1.s2.e2	Non-Specific_miRNAs	miRNA 	3
miRNA-corp.d1.s2	Thus, miR-200a appears to act as a multifunctional tumor suppressor miRNA in meningiomas through effects on the E-cadherin and Wnt/beta-catenin signaling pathways.  	miRNA-corp.d1.s2.e3	Diseases	meningiomas 	4
miRNA-corp.d1.s2	Thus, miR-200a appears to act as a multifunctional tumor suppressor miRNA in meningiomas through effects on the E-cadherin and Wnt/beta-catenin signaling pathways.  	miRNA-corp.d1.s2.e4	Relation_Trigger	tumor suppressor 	5
miRNA-corp.d1.s2	Thus, miR-200a appears to act as a multifunctional tumor suppressor miRNA in meningiomas through effects on the E-cadherin and Wnt/beta-catenin signaling pathways.  	miRNA-corp.d1.s2.e5	Genes/Proteins	beta-catenin 	6
miRNA-corp.d1.s3	miR-200a was found to directly target beta-catenin mRNA, thereby inhibiting its translation and blocking Wnt/beta-catenin signaling, which is frequently involved in cancer.  	miRNA-corp.d1.s3.e0	Specific_miRNAs	miR-200a 	1
miRNA-corp.d1.s3	miR-200a was found to directly target beta-catenin mRNA, thereby inhibiting its translation and blocking Wnt/beta-catenin signaling, which is frequently involved in cancer.  	miRNA-corp.d1.s3.e1	Genes/Proteins	beta-catenin 	2
miRNA-corp.d1.s3	miR-200a was found to directly target beta-catenin mRNA, thereby inhibiting its translation and blocking Wnt/beta-catenin signaling, which is frequently involved in cancer.  	miRNA-corp.d1.s3.e2	Relation_Trigger	inhibiting its translation 	3
miRNA-corp.d1.s3	miR-200a was found to directly target beta-catenin mRNA, thereby inhibiting its translation and blocking Wnt/beta-catenin signaling, which is frequently involved in cancer.  	miRNA-corp.d1.s3.e3	Relation_Trigger	blocking 	4
miRNA-corp.d1.s3	miR-200a was found to directly target beta-catenin mRNA, thereby inhibiting its translation and blocking Wnt/beta-catenin signaling, which is frequently involved in cancer.  	miRNA-corp.d1.s3.e4	Relation_Trigger	directly target 	5
miRNA-corp.d1.s3	miR-200a was found to directly target beta-catenin mRNA, thereby inhibiting its translation and blocking Wnt/beta-catenin signaling, which is frequently involved in cancer.  	miRNA-corp.d1.s3.e5	Genes/Proteins	beta-catenin 	6
miRNA-corp.d1.s3	miR-200a was found to directly target beta-catenin mRNA, thereby inhibiting its translation and blocking Wnt/beta-catenin signaling, which is frequently involved in cancer.  	miRNA-corp.d1.s3.e6	Diseases	cancer 	7
miRNA-corp.d1.s4	Downregulation of miR-200a in meningiomas and arachnoidal cells resulted in increased expression of beta-catenin and cyclin D1 involved in cell proliferation.  	miRNA-corp.d1.s4.e0	Specific_miRNAs	miR-200a 	1
miRNA-corp.d1.s4	Downregulation of miR-200a in meningiomas and arachnoidal cells resulted in increased expression of beta-catenin and cyclin D1 involved in cell proliferation.  	miRNA-corp.d1.s4.e1	Genes/Proteins	cyclin D1 	2
miRNA-corp.d1.s4	Downregulation of miR-200a in meningiomas and arachnoidal cells resulted in increased expression of beta-catenin and cyclin D1 involved in cell proliferation.  	miRNA-corp.d1.s4.e2	Genes/Proteins	beta-catenin 	3
miRNA-corp.d1.s4	Downregulation of miR-200a in meningiomas and arachnoidal cells resulted in increased expression of beta-catenin and cyclin D1 involved in cell proliferation.  	miRNA-corp.d1.s4.e3	Diseases	meningiomas 	4
miRNA-corp.d1.s4	Downregulation of miR-200a in meningiomas and arachnoidal cells resulted in increased expression of beta-catenin and cyclin D1 involved in cell proliferation.  	miRNA-corp.d1.s4.e4	Relation_Trigger	Downregulation 	5
miRNA-corp.d1.s4	Downregulation of miR-200a in meningiomas and arachnoidal cells resulted in increased expression of beta-catenin and cyclin D1 involved in cell proliferation.  	miRNA-corp.d1.s4.e5	Relation_Trigger	increased expression 	6
